@relation CE802_Ass_2017_Data

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute C {True,False}

@data
3.68,3.1,2.91,2.74,2.98,2,24,1.01,8,0.46,0.84,0.36,1,5,False
3.95,3.26,4.75,2.65,4.23,4,20,1.41,16,0.62,0.47,0.47,1,7,True
3.29,2.24,2.55,2.27,2.65,2,19,0.35,-9,0.93,0.81,0.95,1,14,True
7.28,5.79,2.6,3.23,2.6,4,1,1.18,1,0.45,0.96,0.11,1,3,True
-1.03,-0.99,-1.13,-0.97,-1.6,15,250,5.95,-35,0.81,7.4,6.6,10,85,False
-2.5,-2.62,-1.42,-1.26,-1.58,15,80,6.35,-30,0.79,8.1,7.35,10,20,True
-0.19,-1.99,2.64,-1.03,-2.05,25,90,9.05,30,-1.2,6.6,6.65,10,35,False
-0.08,-0.34,0.86,0.01,-0.03,15,130,9.2,-55,2.03,5.1,7.25,10,70,False
-1.34,-2.31,-2.48,-2.52,-2.94,5,300,11.45,-75,3.21,9.95,5.65,10,45,True
2.84,3.98,2.45,3.68,2.77,4,5,1.61,8,0.13,0.72,0.76,1,11,True
-1.28,-0.51,0.09,-1.31,-1.32,10,30,12.25,5,-1.04,5.45,7.65,10,50,False
3.16,2.63,2.55,2.57,4.11,2,2,0.83,2,1.7,0.13,0.77,1,5,False
-1.45,-1.24,-1.51,-1.22,-1.77,5,110,11.95,-45,0.64,6.3,6.2,10,30,False
2.74,3.47,4.74,2.82,3.38,0,21,0.44,-3,0.97,0.94,0.48,1,4,True
2.35,2.51,3.16,3.16,4.99,0,33,0.8,-6,0.75,0.68,0.89,1,10,True
-1.59,0.91,-0.87,0.07,-1.37,15,150,6.25,80,0.47,6.7,5.5,10,40,False
-2.5,-1.88,-1.88,-1.19,-2.02,5,40,5.9,-60,3.18,6.4,8.85,10,30,True
3.28,2.6,4.36,4.11,2.93,2,16,1.61,5,1.33,0.17,0.62,1,6,False
3.09,2.46,4.18,2.73,3.48,2,4,1.09,5,1.11,0.71,0.39,1,13,False
3.74,-1.11,-2.12,-2.5,-1.34,5,290,10.85,-75,1.12,6.3,7.8,10,10,False
-1.12,-1.82,-1.3,-1.98,-1.47,15,200,11.2,-35,1.82,6.15,7.05,10,20,True
-2.12,-2.67,0.33,-2.58,-3,15,200,8.9,-10,0.85,7,9.55,10,25,True
-0.99,-1.81,-1.39,-1.6,-1.29,15,295,5.8,-50,1,7.4,6.2,10,75,False
-0.97,-0.49,-0.64,0.71,-0.86,15,125,14.55,55,0.59,5.75,5.55,10,30,False
2.83,2.39,7.5,2.6,3.16,2,8,0.88,-6,1.22,0.43,0.51,1,4,False
-1.31,1.41,-2.22,-0,-2.05,15,65,9.7,-75,-0.76,6.55,7.25,10,15,True
-0.16,-0.7,-1.68,-0.52,-2.23,15,95,5.05,80,0.33,6.35,9.45,10,70,True
-0.36,-0.97,-1.3,-1.64,-1.59,25,10,7.4,90,-1.27,5.75,5.7,10,15,False
2.54,4,4.55,3.79,4.61,0,17,2.04,-3,2.69,0.37,0.5,1,11,False
3.65,2.71,5.41,3.14,2.27,2,22,0.1,2,2.59,0.88,0.13,1,3,True
3.57,3.1,2.4,4.89,6.75,4,1,1.47,7,0.47,0.29,0.68,1,3,True
3.32,2.93,4.41,2.8,2.6,2,27,1.93,10,0.69,0.74,0.37,1,4,True
0.42,-0.18,-2.05,-1.43,-1.2,15,175,7.5,-20,0.11,8.1,8.65,10,75,True
2.37,3.35,3.53,3.64,5.03,4,17,0.68,11,1.37,0.52,0.28,1,0,False
-1.68,-1.56,-1.47,-1.79,-1.62,25,290,7.55,95,0.49,5.6,8.6,10,25,True
3.6,3.66,4.03,3.51,3.04,4,15,1.45,20,1.85,0.45,0.37,1,6,True
-1.61,-1.89,0.27,-2.48,-1.88,25,245,10.75,40,0.31,5.45,9.8,10,30,True
3.24,2.04,3.9,4.69,3.67,0,1,0.81,-18,5.71,0.81,0.95,1,3,True
2.65,2.32,5.95,3.76,2.63,4,39,1.27,8,1.16,0.83,0.09,1,6,False
4.98,4.11,2.42,2.41,3.54,2,26,0.49,15,0.7,0.51,0.83,1,7,False
2.27,9.02,4.62,3.72,4.59,2,34,0.39,13,0.76,0.79,0.95,1,4,True
2.39,3.34,2.34,2.7,2.35,4,34,0.92,9,0.94,0.49,0.85,1,4,False
-2.31,-1.98,-1.78,-2.07,-2.03,15,245,10.45,-40,1,8.05,6.4,10,60,True
4.62,2.91,2.49,2.52,4.13,2,14,1.52,-5,2.54,0.3,0.49,1,8,False
-1.26,-0.81,0,-0.99,-0.9,15,375,8.3,-40,1.48,5,6.8,10,15,False
-1.68,-2.13,-0.79,3.41,-1.79,5,110,11.9,-20,0.1,7.35,6.75,10,35,True
0.82,3.31,0.41,1.92,0.38,15,230,6.85,-35,1,5.55,5.05,10,55,False
2.65,3.26,2.56,2.91,5.05,0,10,1.28,-13,0.94,0.54,0.92,1,4,True
-2.01,-0.32,-1.5,-2.13,-1.15,15,45,10.05,-50,-1,7.4,5.05,10,10,True
0.51,-0.29,-0.24,-0.77,2.35,15,160,6.5,-45,1.04,5.8,5.6,10,15,False
2.36,2.29,4.02,4.84,4.45,0,8,1.03,-18,1.18,0.59,0.77,1,1,True
-1.93,-1.37,-2.19,-2.02,-0.38,15,230,5.5,35,0.14,6.45,7.15,10,30,False
-0.78,-1.97,-2.67,-1.8,-1.24,15,320,15.15,-80,2.51,7.8,6.3,10,20,True
-1.75,2.48,-2.6,-2.48,-1.61,25,320,10.2,80,2.51,6.15,9.5,10,30,True
-1.82,-1.33,2.34,-2.61,-2.11,10,200,6.45,5,1.54,9.5,6.25,10,60,True
-1.23,-1.31,-2.28,-1.38,-1.08,15,200,9.85,-90,0.54,9,6.3,10,65,True
-1.85,-2.12,1.48,-1.37,-2.63,15,355,9.6,15,0.75,6.8,10.45,10,75,True
-1.63,-2.03,-1.21,-1.99,-1.82,15,100,5.45,35,-0.71,6.75,7.05,10,50,True
2.95,2.11,2.26,2.19,2.5,0,73,1.78,-15,1.02,0.87,0.74,1,2,True
-1.11,-1.57,0.26,-0.9,0.05,25,300,14.7,70,-0.27,5.35,6.35,10,15,False
-1.18,-0.18,-1.9,-1.28,0.47,5,235,7,-60,1.88,6,7.6,10,40,False
3,2.52,2.48,2.63,3.11,2,52,1.66,-9,0.97,0.9,0.45,1,14,True
0.61,-2.92,-0.3,-2.13,-2.97,15,265,6.8,-10,1.14,9.45,6.8,10,50,True
1.11,-2.59,-1.01,1.12,-2.05,15,85,6.85,-50,0.24,8.85,5.65,10,30,True
-1.17,0.03,-1.95,-1.3,-0.75,25,285,5.05,70,2.11,6.35,9.15,10,35,True
-1.68,-1.34,-1.92,-1.65,-0.9,15,40,6.2,60,-0.51,7.6,6.2,10,65,False
-1.25,-2.65,-2.99,-2.97,-2.31,5,225,6.5,-80,2.68,8.3,7.85,10,15,False
5.06,2.42,4.92,3.15,2.79,2,8,0.94,16,1.33,0.2,0.98,1,6,False
2.8,3.48,2.42,3.93,3.19,4,9,1.49,19,0.74,0.65,0.13,1,2,True
-2.1,1.62,-0.94,-1.6,0.03,25,230,10.15,40,-0.96,7.4,5.25,10,35,True
2.19,2.68,3.95,2.32,2.29,2,17,1.92,20,0.39,0.74,0.81,1,1,True
2.71,2.83,8.13,3.72,2.36,2,2,0.12,-10,3.54,0.72,0.5,1,4,True
7.15,4.17,4.65,4.04,2.44,2,22,1.08,3,1.23,0.27,0.62,1,2,False
0.05,-1.78,-1.11,-1.6,-1.65,15,345,14.5,65,1.24,6.55,7.1,10,55,False
3.47,2.36,4.28,3.5,2.82,2,59,1.11,21,0.62,0.3,0.95,1,-1,False
-1.3,-1.8,-0.94,-1.68,-0.94,5,325,11.6,-5,0.76,5,7.25,10,5,False
-2.3,-1.81,-0.67,-1.56,-1.16,5,200,5.9,-70,1.19,6.6,9,5,25,True
2.45,2.85,3.41,4.73,3.07,4,24,1.66,5,2.11,0.68,0.18,1,13,False
3.2,4.7,2.5,2.23,2.75,2,50,1.33,-12,2.44,1.01,0.01,1,2,True
-1.05,-1.08,-1.19,-1.25,-1.34,25,25,6.8,80,-0.74,6.4,5.7,10,50,False
-1.2,-0.81,-1.53,-0.99,-1.18,15,250,9.1,-65,0.97,4.45,8.95,10,30,False
4.24,2.32,3.35,3.83,5.79,4,5,0.44,19,0.57,0.55,0.99,1,12,True
2.37,2.59,3.33,4.2,2.25,4,31,1.12,13,0.75,0.81,0.63,1,12,True
3.4,2.74,2.48,2.34,4.68,2,4,1.24,16,1.27,0.83,0.77,1,10,True
-0.81,-1.8,0.36,-1.69,-0.47,15,195,10.95,65,-0.55,5.35,8.1,10,40,False
2.07,3.28,3.36,2.69,3.36,4,13,0.59,14,2.67,0.91,1.04,1,4,True
-1.71,0.58,-1.57,-2.11,-1.68,15,125,9.9,-75,-0.5,5.7,8,10,15,True
2.55,2.73,2.51,2.34,3.04,0,17,1.49,-2,3.22,0.59,0.49,1,5,False
-1.51,2.86,-1.82,-1.58,0.28,5,15,5.1,-35,1.53,6.6,5.25,10,15,False
2.54,2.6,3.13,4.06,4.77,2,34,0.6,21,1.36,0.92,0.36,1,7,True
0.94,-1.76,-1.18,-1.29,-2.93,5,45,6.65,-15,0.79,7.3,9.8,10,35,True
3.82,2.35,2.86,1.99,3.65,4,27,0.68,2,2.57,0.98,0.89,1,5,True
-1.34,1.39,-0.99,-1,-0.94,15,305,13.1,-65,0.09,7.35,5.05,10,70,False
-1.97,-1.51,0.72,-1.59,1.36,15,360,6.3,-80,1.23,6.75,5.9,10,35,False
-0.41,-0.29,1.41,-1.52,-1.13,25,365,12.45,50,0.15,7.1,5.8,10,70,False
2.61,3.38,2.87,2.44,2.92,4,14,0.16,10,1.05,0.5,0.62,1,5,False
5.49,2.39,3.15,2.85,3.99,2,38,0.8,19,0.48,0.69,0.73,1,13,False
3.34,3.4,2.44,4.1,3.3,4,56,2.03,7,0.55,0.52,0.18,1,3,False
-2.32,-2.35,-1.02,-0.6,-2.03,15,345,7.1,55,1.17,7.2,6.85,10,45,False
3.24,2.38,4.05,5.25,2.42,4,36,0.59,21,1.93,0.69,0.84,1,11,False
3.4,3.74,3.12,2.11,2.9,2,50,1.62,-16,2.62,0.95,0.56,1,4,True
4.05,2.43,2.78,2.47,2.8,4,38,1.71,19,0.34,0.52,0.3,1,4,True
-1.85,-2.24,-1.25,-2.27,0.98,5,185,9.8,0,-0.01,6.2,9.05,10,40,True
-1.06,-1.81,-0.24,-1.08,-1.79,15,250,9.5,70,0.39,7.15,5.05,10,5,True
-1.9,-1.79,-1.11,-1.11,0.08,15,50,9,-45,1.37,6.75,7.7,10,55,True
2.01,-0.45,-0.07,-0.29,0.42,5,110,9.95,-70,-0.04,5.5,5.75,10,60,False
-2.26,0.78,-2.22,-0.88,-2.48,25,145,6.3,45,-0.24,5.8,9.95,10,30,True
2.7,4.4,2.91,2.8,4.85,2,8,0.27,-5,5.1,0.75,0.87,1,10,True
6,3.5,3.02,4.46,3.07,2,15,2,11,0.61,0.47,0.04,1,3,False
3.76,5.25,2.4,3.83,3,2,27,1.11,12,1.04,0.82,0.27,1,2,True
3.94,2.28,2.39,3.83,3.9,0,21,1.28,-2,2.18,0.77,0.39,1,1,True
3.25,2.26,3.12,3.13,3.02,2,9,1.9,1,0.76,1.06,0.91,1,7,True
-1.35,-1.13,-0.26,-2.32,-0.11,5,25,7.5,-75,0.74,6.7,7.9,10,40,True
3.53,3.3,3.31,2.98,3.22,2,25,0.67,11,3.21,0.26,0.86,1,1,False
-1.76,-1.54,-2.17,-1.12,-2.15,5,145,12.05,-85,0.41,5.3,8,10,5,False
3.04,3.16,2.8,2.46,2.48,4,14,0.73,14,0.59,0.22,0.86,1,10,False
0.22,0.79,2.62,-0.2,0.73,15,10,11.5,-40,1.15,5.3,5.6,10,40,False
-0.11,-1.24,-0.4,-0.71,-2.09,25,325,13,40,1.98,6.3,6.95,10,30,True
-2.23,-1.56,-1.96,-2.24,-2.01,15,50,8.2,-35,-0.75,7.25,6.75,10,35,True
2.93,2.2,2.19,2.33,2.56,0,14,0.05,-18,1.02,0.98,0.69,1,12,True
2.8,4.51,2.4,4.02,2.56,4,60,2.04,6,0.64,1.02,0.51,1,11,True
-2.11,-2.45,-1.48,1.29,-2.54,5,375,13.45,-25,5.52,7.15,8.85,10,50,False
-0.05,-0.66,-0.52,-0.19,3.48,15,290,9.65,105,1.32,6,5.3,10,50,False
-2.01,-0.22,-1.76,-2.11,-1.57,15,300,7.5,90,0.67,10.25,5.65,10,15,True
3.2,2.94,3.73,2.72,2.33,2,55,1.88,-6,2.52,0.59,0.89,1,3,True
3.71,2.33,2.25,5.29,2.24,2,24,0.74,7,0.57,0.8,1,1,2,True
3.95,3.46,2.31,2.71,2.49,2,6,1.31,14,0.39,0.82,0.2,1,6,True
-1.18,-2.08,-1.57,-2.85,-2.31,5,200,8.6,0,0.68,10,7.1,10,30,True
3.39,2.67,2.39,2.66,3.72,0,5,1.94,-1,2.63,0.4,0.73,1,2,False
3.5,3.7,5.49,3.34,2.27,2,17,1.13,12,1.12,0.63,0.87,1,1,True
4.75,3.99,3.5,4.41,3.01,4,40,1.52,14,1.19,0.63,0.37,1,1,True
2.98,4.37,2.86,3.15,2.73,2,9,0.51,12,1.6,0.57,0.75,1,5,False
3.72,3.1,2.34,2.43,2.95,2,22,0.67,10,1,0.9,0.52,1,2,True
-2.2,-2.38,-3.08,-2.94,4.13,5,215,9.7,0,0.3,9.4,6,10,25,True
2.5,2.47,2.75,4.04,4.81,0,22,1.76,-21,0.97,0.27,0.52,0,11,False
-0.67,-1.61,-2.11,-1.75,-2.56,15,125,9.1,-65,-0.38,8.8,5,10,35,True
3.84,3.43,2.73,3.63,3.23,4,57,1.81,4,2.59,0.6,0.08,0,11,False
-0.97,-1.42,-1.5,1.07,-1.44,25,305,12.1,25,-0.94,5.95,6.05,10,30,False
-1.84,-2.05,-0.61,-2.43,-1.44,15,165,8.55,-70,0.55,6.4,7.9,10,25,True
2.64,2.86,2.78,4.35,3.53,2,36,1.82,16,0.47,0.45,0.33,1,13,False
-1.46,-0.81,-1.41,3.58,-1.67,25,60,5.8,10,3.2,7.15,6.05,10,65,False
-0.23,-0.01,3.36,-0.32,1.46,5,75,10.55,-25,1.74,5.25,7.9,10,70,False
-2.03,-0.33,-2.13,-2.13,-2.24,15,300,6.3,80,1.14,7.1,7.8,10,40,True
3.01,2.55,3.54,4.63,7.86,4,18,0.88,6,2.29,0.67,0.89,1,9,True
-2.17,-1.53,-2.37,-2.02,0.62,15,270,9.75,-65,1.1,8.35,7.15,10,55,True
-0.89,-1.02,1.81,0.2,0.52,15,310,11.45,-85,1.58,7.05,6.45,10,70,False
3.85,3.18,2.85,2.5,4.22,2,35,1.12,19,1.17,0.9,0.03,1,13,False
-1.52,-1.02,-1.61,-1.38,-1.4,15,110,10.7,0,1.58,6.6,5.8,10,45,False
-2.21,-2.18,-1.69,-1.24,-1.44,25,235,6.95,35,-0.01,8.8,5.6,10,70,True
1.13,-0.12,3.44,-1.74,-1.79,15,320,9.45,-70,1.54,7.15,6.65,10,75,False
-2.1,-1.82,-0.17,1.17,-2.8,15,365,13.4,-40,0.32,6.65,10.1,10,45,True
2.69,2.24,2.89,3.5,2.53,0,12,1.82,-7,0.58,0.76,0.52,1,6,False
3.4,3.89,2.71,3.71,2.76,4,12,1.77,14,1.07,0.18,0.48,1,13,True
3.28,2.38,3.68,2.43,2.48,4,9,0.45,2,0.73,0.84,0.27,1,13,False
2.27,4.67,2.28,2.28,4.95,4,57,1.06,2,1.84,1.02,0.53,1,11,True
-0.71,-2.02,-2.03,-1.92,-2.08,15,300,5.25,-90,3.95,8.55,5.75,10,60,False
5.09,3.17,7.49,2.6,3.36,3,27,0.74,0,1.12,0.61,0.52,1,6,False
2.66,2.98,2.8,2.8,2.75,3,25,1.71,-0,0.4,0.27,0.16,1,3,False
5.19,8.18,4.81,2.69,3.24,0,9,1.83,-6,1.45,0.66,0.21,1,9,False
-0.21,0.06,1.34,-0.78,-1.66,25,125,5.35,65,0.15,7.1,5.7,10,60,False
-1.48,-2.86,-2.57,-2.5,-2.13,5,105,5.9,-95,1.37,9.95,5.9,10,35,True
2.99,-0.01,-0.51,-1.11,-0.25,5,95,5.6,-60,0.71,6.15,6.4,10,70,False
2.55,7.04,2.73,4.02,3.81,4,31,0.28,7,0.71,0.94,0.05,1,12,False
0.09,-2.63,-2.42,-0.93,-1.82,15,330,14.05,-100,0.58,8.65,7.15,10,70,True
0.35,-0.8,-2,-1.57,-1.33,15,190,9.6,-15,-0.57,7.9,7.25,10,70,True
2.44,3.07,5.12,5.57,3.97,2,48,0.4,18,2.25,0.87,0.59,1,12,True
-2.43,-2.45,-2.58,-1.44,-2.39,5,350,9.1,0,6.87,6.85,9.05,10,55,False
4.13,3.33,2.86,3.54,4.5,4,3,1.45,8,1.82,0.08,0.29,1,9,False
-2.65,-1.7,-2.03,-1.32,-1.9,5,205,9.3,-40,0.61,7.85,6.9,10,15,True
0.35,-1.01,-0.82,-0.09,-2.25,25,110,6.6,10,0.06,7.9,7.15,10,70,True
0.77,-0.83,-0.95,-0.32,-0.96,15,285,10.7,35,-0.37,5.4,5.7,10,35,False
-1.19,0.7,-1.44,0.39,-0.68,5,290,5.45,-20,1.29,5,9.6,10,40,False
4.4,4.01,3.58,4.38,2.43,0,6,1.29,-16,4.94,0.6,0.28,1,2,False
2.46,3.13,3.46,2.37,4.23,4,9,0.78,1,0.53,0.43,0.72,1,7,False
3.25,4.29,3.68,2.56,2.59,0,2,1.38,-19,1.03,0.88,0.23,1,3,True
7.31,2.87,2.79,3.78,6.67,2,40,1.69,14,1.33,0.5,0.99,1,13,False
0.19,-0.49,-1.2,-0.77,3.03,25,315,9.2,105,-0.27,5.95,5.35,10,30,False
-1.48,-1.55,-1.52,-0.1,-0.14,5,255,10.25,-10,0.58,6.25,6,10,35,False
2.46,4.81,2.74,3.1,2.99,4,43,1.45,8,1.54,0.68,0.19,1,14,False
2.8,4.15,2.71,2.39,4.78,4,25,0.05,5,2.26,0.77,0.82,1,8,True
-1.23,-2.41,-2.46,-2.14,-1.86,5,235,7.35,-30,1.69,7.55,9.5,10,75,False
3.84,2.62,3.51,3.52,3.89,2,10,1.07,16,0.74,0.5,0.87,1,11,False
-1.24,-1.78,-1.14,-1.47,-0.92,15,125,6.65,-15,-0.33,7.25,5.9,10,60,False
-0.63,0.17,-2,-1.68,-1.91,5,10,7.5,-50,1.2,6.2,8.95,10,50,True
3.16,3.78,7.01,3.14,3.67,2,10,0.41,8,0.69,0.49,0.82,1,6,False
5.81,4.9,2.57,3.94,5.44,2,5,0.87,11,3.61,0.24,0.9,1,10,False
-2.12,-2.38,-1.9,-0.59,-0.5,15,190,7.6,-15,0.01,8.75,5.5,10,50,True
-0.52,-0.79,-0.64,-1.34,-1.74,5,205,7.55,-35,0.95,5.55,8.9,10,55,False
-3.09,-2.64,-1.65,-2.09,-0.22,25,340,6.05,25,0.96,9.75,7.4,10,40,True
3.47,9.18,2.39,5.45,2.41,2,1,0.47,16,0.58,0.79,0.03,1,10,False
6.87,3.06,5.8,5.72,5.88,4,11,1.73,17,0.31,0.07,0.59,1,4,True
2.47,2.86,3.47,2.47,3.27,2,11,1.66,-17,4.33,0.46,0.67,1,1,False
4.24,2.38,3.78,5.79,2.66,2,21,1.35,-7,2.38,0.38,0.86,1,11,False
2.38,0.26,0.36,0.54,0.5,25,250,6.1,10,0.22,5.6,5.15,10,75,False
0.08,-0.37,0.29,0.4,0.26,15,45,5.4,-10,2.72,5.75,6.6,10,75,False
3.3,2.82,4.06,2.18,2.14,2,26,1.54,-11,1.61,0.99,0.75,1,9,True
0.39,-2.29,-2.11,-1.38,-2.45,5,305,13,-10,0.38,7.9,7.55,10,65,True
4.13,9.68,3.62,7.51,4.26,4,59,1.85,15,3.8,0.7,0.35,1,12,False
-0.9,-1.82,-1.16,1.73,-1.5,5,290,6.3,-55,3.83,7.1,5.4,10,45,False
-0.19,-1.49,0.49,-1.34,0.69,5,265,14.45,-20,-0.11,6.4,6.8,10,50,False
-1.66,0.85,0.95,-2.43,-2.19,15,155,7.8,55,-0.78,8,6,10,50,True
3.57,3.22,3.3,3.75,2.55,0,3,0.65,-1,4.45,0.34,0.92,1,4,False
-1.29,-1.44,-1.99,-1.66,-2.18,25,295,6.8,10,1.63,7.05,5.2,5,40,True
0.46,-2.44,-2.15,-1.2,-2.45,5,365,6.75,-55,1.75,6.9,9.75,10,50,False
3.08,3.15,5.58,2.61,2.83,4,34,1.29,4,0.65,0.15,0.89,1,11,False
-1.31,-1.48,-1.39,0.11,-1.39,5,210,9.05,-70,1.72,5.5,7.25,10,40,False
-2.27,1.52,-2.36,-1.32,-1.44,15,275,10,45,0.63,6.55,6.65,10,15,True
4.85,2.54,3.1,3.28,5.28,0,11,1.69,-3,1.35,0.83,1.04,1,7,True
-2.29,-0.65,-2.56,-2.4,-1.84,15,345,6.05,-5,1.76,7.65,9.15,10,70,False
2.91,3.94,2.47,2.52,4.97,0,3,1.13,-7,1.17,0.62,0.23,1,6,False
2.48,2.36,3.17,7.73,3.49,4,11,0.62,14,2.98,0.78,0.4,1,10,True
-1.45,-3.12,-2.44,-2.82,0.02,5,290,14.05,-70,1.17,8.5,7.15,10,5,True
3.06,2.41,3.37,5.16,2.32,3,0,0.84,17,1.32,0.68,0.93,1,10,True
-1.04,-1.18,-2.01,-0.54,-2.36,5,335,12.5,-85,1.03,8.2,5.1,10,40,False
2.78,3.23,3.23,2.46,2.77,2,17,0.92,17,0.83,0.28,0.65,1,9,False
-1.89,-2.23,-2.01,0.4,-2.08,15,285,7.85,60,-0.12,7.25,6.4,10,45,False
4.72,3.56,3.8,3.26,3.45,4,23,1.69,8,1.21,0.6,0.38,1,1,True
-1.23,0.33,2.97,-1.24,-1.18,15,40,5.3,-40,-0.52,7.35,6.2,10,20,True
8.59,3.66,4.33,2.8,3.95,4,8,1.88,3,2.03,0.14,0.38,1,11,False
-1.64,1.13,0.63,2.43,-2.14,15,90,5.3,-30,1.29,5.6,8.3,10,20,False
-0.86,-0.35,-0.69,-1.04,-0.46,5,15,13.8,-20,0.8,5.95,7.65,10,75,False
-0.25,-0.97,-1.6,-1.58,-0.69,15,270,12.8,80,0.51,7,6.55,10,60,False
-0.6,-0.42,-2.07,1.53,-2.04,25,150,5.95,45,-0.6,7.2,8,10,45,True
2.54,2.56,3.36,2.66,4.65,2,2,0.53,9,2.33,0.53,0.87,0,6,True
-1.28,-1.17,0.25,-1.74,-1.77,15,335,14.7,-30,-0.23,7,6.3,10,60,False
-1.06,-1.03,-1.66,0.52,-1.87,15,245,12.95,-85,-0.06,6.7,6.8,10,35,False
-0.84,0.22,-1.25,-0.82,-0.99,15,15,9.9,85,-0.35,6.5,6.15,10,60,False
2.25,5.52,3.28,2.93,2.77,2,10,1.76,9,1.14,0.8,0.75,1,15,True
1.03,-0.52,0.4,-0.38,-0.68,20,195,5.45,5,0.72,6.7,5.1,10,75,False
2.35,2.75,2.87,4.36,3.71,2,53,1.84,-14,1.91,0.57,0.99,1,3,True
0.54,1.04,0.14,0.2,1.09,25,110,13.25,40,0.15,5.05,5.1,10,35,False
-0.94,-0.17,-1.39,0.13,-1.32,10,200,10.8,5,1.64,4.8,8.15,10,35,False
-1.23,-1.09,-0.57,-1.35,-0.92,5,65,8,-65,1.52,6,5.35,10,20,False
-1.17,-2.22,-2.24,-1.97,-1.94,15,170,12.5,-80,0.95,8.75,5.05,10,70,True
0.74,-0.67,-0.13,0.31,-0.32,25,305,11.7,115,-0.11,6.75,5.9,10,20,False
2.37,4.76,3.1,2.88,2.77,0,13,1.63,-8,0.69,0.98,0.35,1,9,True
5.08,2.75,2.21,2.99,4.01,0,24,0.92,-12,1.39,0.95,0.73,1,6,True
-1.53,-2.16,-2.4,-1.79,-0.6,15,75,6.45,-10,0.04,6.75,8.15,10,35,True
3.67,2.5,4.28,2.5,8.58,2,5,0.46,19,0.55,0.23,0.86,1,12,False
3.9,5.3,3.02,2.9,2.94,3,0,1.82,14,-0.02,0.15,0.02,1,3,True
2.75,3.97,4.01,2.21,3.81,2,15,1.39,-18,0.68,1.05,0.36,1,6,True
-0.17,0.11,0.31,-0.76,2.15,25,165,10.7,95,-0.41,5.9,6.1,10,65,False
5.33,3.07,3.74,2.28,3.18,4,6,1.49,2,1.6,0.57,0.8,1,9,True
3.87,2.19,2.31,2.19,2.37,2,13,1.49,1,1.74,0.8,0.72,1,7,True
3.74,3.1,2.5,2.72,6,2,23,1.91,3,1.04,0.72,0.24,1,12,False
2.47,2.18,2.87,3.1,5.96,2,8,0.3,-18,2.25,0.75,0.74,1,7,True
3.82,2.94,4.08,2.76,2.8,4,16,1.24,3,2.34,0.6,0.65,1,3,True
-0.89,-1.9,-0.91,-0.88,-1.23,5,370,11.9,-45,2.73,5.85,8.7,10,65,False
5.76,2.18,2.7,6.02,3.52,0,8,0.25,-15,2.79,0.75,0.63,1,-0,True
-0.51,-1.27,-1.46,-0.51,-0.34,15,155,10.1,0,1.23,6.1,5.95,10,40,False
2.84,2.67,2.7,4.12,2.48,2,45,1.83,14,0.67,0.57,0.91,1,6,True
-0.95,-0.2,-0.45,-0.41,-0.23,25,115,10.5,10,-0.96,5.8,7.4,10,80,False
-1.12,0.03,-0.96,-1.67,0.88,15,330,9.85,20,0.41,6.85,6.05,10,50,False
1.14,0.35,-0.54,-0.06,-1.55,5,165,11.05,-70,0.38,6.25,5.85,10,40,False
-2.06,-1.75,-1.53,-2.02,-1.06,15,135,12.65,-50,0.28,7.25,6.3,10,55,True
-1.64,-1.74,1.92,0.48,-1.47,15,365,7.05,60,1.49,5.9,6.65,10,30,False
2.2,0.43,-0.42,-0.34,6.07,15,35,10.15,10,-0.88,5.4,5.45,10,40,False
4.18,2.28,4.39,3.72,2.43,2,41,1.26,7,0.99,0.89,0.14,1,2,True
0.46,-1.22,-1.86,-1.17,-1.98,15,195,7.45,65,0.9,7,6.75,10,45,True
3.44,2.87,7.03,2.39,4.7,4,61,1.52,16,0.68,0.92,0.5,1,13,False
-2.46,-1.92,-2.48,-1.57,-1.95,15,135,6.95,90,-0.14,8.4,6.55,10,60,True
3.01,2.9,2.81,2.96,2.4,4,37,0.84,6,0.57,0.61,0.08,1,2,False
2.19,2.5,3.04,4.05,2.31,2,27,1.36,-7,0.9,0.87,0.38,1,-0,True
2.37,4.17,4.23,2.48,2.25,4,20,1.84,13,1.45,0.78,0.87,1,10,True
-0.14,-0.88,-1.89,0.25,-1.31,5,15,12.2,-65,0.49,5.25,9.75,10,60,False
-0.16,-2.33,-2.66,-2.23,-2.52,5,80,6.05,-20,0.92,7.2,9.15,10,30,True
8.78,3.66,2.41,3.13,2.08,4,59,1.12,10,1.18,0.91,0.74,1,5,True
-2.83,-3.25,-3.12,-3.14,-3.32,5,265,12.85,-80,2.15,10.6,6.05,10,25,True
-2.02,0.16,-1.53,-0.02,-1.37,25,325,10.6,25,-0.17,6.85,7.05,10,60,False
2.19,-0.15,2.55,0.97,-0.28,15,60,9.8,-95,0.96,5.15,7.25,10,80,False
-2.52,-2.07,-2.74,-1.75,-2.39,15,335,5.35,-35,1.64,5.95,9.15,10,10,False
0.37,0.11,0.33,0.64,2.41,15,305,12,-60,3.37,5.45,5.65,10,70,False
3.03,3.74,2.69,3.77,2.5,2,11,1.96,8,2,0.31,0.67,1,10,False
